id,title,lang
nal_V87jNWg,"The Only Requirement [Season 9, Ep 25]",
7AIvSOdHaF4,"Learning to Identify [Season 9, Ep 26]",
70lFlDvgRgg,"Just the Right Time [Season 8, Ep 1]",
2JzApOfd3RY,"Any Length [Season 8, Ep 2]",
YilPfvB111E,"They Let Me In [Season 8, Ep 3]",
Qtkw5vRvj0U,"From The Southeast Regional Forum [Season 8, Ep 4]",
XnO-oD-5Sic,"Brighter Days [Season 8, Ep 5]",
v4m6t0rMPcE,"A Beautiful Light Inside [Season 8, Ep 6]",
sYhCNoEbhG8,"Whatever is Asked of Me [Season 8, Ep 7]",
0XT0mt_98Zc,"If I'd Just Taken Suggestions [Season 8, Ep 8]",
B0D_hKgwAL8,"Welcome Home, Mary [Season 8, Ep 9]",
ac-yC7XFq7E,"Let's Work on a Power Greater than You [Season 8, Ep 10]",
GLpPWcbREbQ,"God Moments [Season 8, Ep 11]",
hZPhYTq19dQ,"Amends Set Me Free [Season 8, Ep 12]",
Gs08ArLrgBk,"Sober at 16 [Season 8, Ep 13]",
A6VaTVYG0B8,"Right on Time [Season 8, Ep 14]",
PJHfplBME7w,"Get in the Car [Season 8, Ep 15]",
f4oVpo9rTN8,"The Gift of Desperation [Season 8, Ep 16]",
9047x5pgXKQ,"Suffering Transmuted [Season 8, Ep 17]",
E2KiqL3PTIc,"Differences Fall Away [Season 8, Ep 18]",
KOASYfjdd-I,"We're Your Friends [Season 8, Ep 19]",
hZF_VeQUbbo,"Learning to Fly [Season 8, Ep 20]",
zjJv_ASe87o,"Stick and Stay [Season 8, Ep 21]",
b1sjhMiLR1Y,"The Day Hope Arrived [Season 8, Ep 22]",
DGUwgBSX3xM,"Out of Options [Season 8, Ep 23]",
QCCDuYcOtkM,"Not for Applause [Season 8, Ep 24]",
LHdgz_ZyCjw,"God Breaking His Anonymity [Season 8, Ep 25]",
SKqmgNIpKEk,"The Secret Sauce [Season 8, Ep 26]",
vix_kvy8tSE,"I'm Already Free [Season 7, Ep 1]",
WJ1Hn-bt-AM,"This is Where I Fit [Season 7, Ep 2]",
Tu7--g5Re7I,"Trained Feet [Season 7, Ep 3]",
GNSyiZyRDAo,"I Told Every Lie I Could Tell [Season 7, Ep 4]",
f_n_93cWtKY,"Finding Community [Season 7, Ep 5]",
BX-CorW2JCM,"It's Worth the Work [Season 7, Ep 6]",
qwuUXdrjFjM,"Tastes Like an Alcoholic's Tears [Season 7, Ep 7]",
wTW4U6w9niM,"A Sense of Belonging [Season 7, Ep 8]",
OTeufAx8roU,"A Wild Child Finds AA [Season 7, Ep 9]",
D75Ebo_hN1E,"High Fives [Season 7, Ep 10]",
WklacGxV08c,"I Hear the Message [Season 7, Ep 20]",
JK0Iydfnyws,"Standing with Integrity [Season 7, Ep 22]",
puxy4JqIPKU,"Message of Hope: Corrections Conference [Season 7, Ep 23]",
mnKqDbaF9HI,"How I Made it Through the Holidays [Season 7, Ep 24]",
yYq_1sfYKl8,"How Could a Monk Be a Drunk? [Season 7, Ep 25]",
PiobSKSknDI,"Perfectly On Time [Season 7, Ep 28]",
XDp4TH8bnZg,"You Might Want to Try AA [Season 6, Ep 18]",
YcgtzeXOJ8k,"Get Involved, Work the Steps [Season 6, Ep 19]",
1mrf-y-iImg,"From Surviving to Thriving [Season 6, Ep 21]",
9QFcGTDYIT8,"Grapevine Magazine 80th Anniversary Special [Season 6, Ep 23]",
fPcAFX53tzw,"Never Had a Legal Drink [Season 6, Ep 24]",
3CT5vdQLWrk,"I Gotta Get My Feet Into AA [Season 6, Ep 25]",
AN6rv9pnRJ8,"Marissa — 'AA is full of hope dealers'",
HuDw337XKSE,"Ben — 'I was at the jumping-off place'",
hysQm-TSXOY,"Haley H. — 'Don't let anyone say you don't belong here'",
HBmTinbBrHY,"Lauren K. — 'I went running toward things I was most afraid of'",
BS4KrgK3Fxw,"Anne S. — 'I told them how much I hated sobriety'",
EfRqtFiXZlA,"Kathy R. — 'I was surrounded'",
EltCn5WCJa0,"Suzanne — 'I have a new heart. Beating strong. Beating sober'",
nAqtz1qlnDs,"Lisa — 'I did the things I said I would never do'",
MpTjBabBGFg,"Teya — 'Being willing saved my life'",
z0LTOzRaXe8,"Marsha P. — 'Change or die'",
990DzNT66qE,"Pam R. — 'Recovered from a hopeless state of mind and body'",
yrvFf9WGkYg,"Emma A. — 'Coming to Step One as far back as I can remember'",
Tr736faDC9k,"Barbara — 'Keep coming back—no matter what'",
35rCoOazBfE,"Yojiro W. — 'A deep connection that transcends language'",
arLRiRBBFHM,"Sandy — 'Nothing more important than AA'",
1K5_BsKoANg,"Lucky — 'There wasn't language for people like me'",
b9f_3EgBTz4,"Leila — 'AA's program of action was modern day alchemy'",
UgO2ERM3ysc,"Sky — 'I grew up in A.A.'",
Bqb1FP0lx1E,"La Viña: Su historia y el impacto en la Comunidad Hispana de AA",es
wV_9uHDCUow,"Como participar en el servicio de RLV",es
svtBcJVfXs0,"Camila — 'Mi refugio'",es
eVKc9Ja6QuU,"Marisol — 'El mejor año de mi vida'",es
R1mQ5TkHoTU,"Eloy E. — 'De la oscuridad a la luz'",es
sG8JuBn_t2Y,"Karina — 'Un mundo de posibilidades'",es
vSBGoZEqI2Y,"José C. — 'Mi infancia, mi alcoholismo y mi recuperación'",es
1ntnf2eHRoI,"Maria R — 'El lenguaje del corazón'",es
eqYo0I45axM,"Vicky — 'Mi nueva versión'",es
k1J3bteSIfU,"Magdalena P. — 'El valor de servir'",es
V55DUDvlsCQ,"CARRY THE MESSAGE PROJECT — AA Grapevine & La Viña",
4qb3ok1xiF4,"PROYECTO LLEVE EL MENSAJE — AA Grapevine & La Viña",es
A9_01Vqt4LQ,"How to Succeed as a Grapevine Rep",
ScN9KChAsKs,"The 2025 International Convention, Vancouver",
4tXWts3Dzxc,"Twelve Steps Save a Life",
_mjB6hXYHn4,"Victor E. is back",
