year,title,title_es,desc,desc_es,type
2001,Audio Grapevine Launches,Se Lanza Audio Grapevine,"Audio formats introduced, making stories of recovery accessible to visually impaired members and those who prefer listening.","Se introducen formatos de audio, haciendo las historias de recuperación accesibles para miembros con discapacidad visual y quienes prefieren escuchar.",grapevine
2004,Digital Story Archive Opens,Se Abre el Archivo Digital de Historias,"Subscribers gain searchable access to thousands of stories, historical letters, and humor dating all the way back to 1944.","Los suscriptores obtienen acceso de búsqueda a miles de historias, cartas históricas y humor que se remontan hasta 1944.",grapevine
2008,La Viña Online Archive,Archivo en Línea de La Viña,"The La Viña digital archive launches, allowing Spanish-speaking members worldwide to search past stories and articles.","Se lanza el archivo digital de La Viña, permitiendo a los miembros de habla hispana en todo el mundo buscar historias y artículos pasados.",lavina
March 2009,Full-Color Magazine Redesign,Rediseño de Revista a Todo Color,"A complete visual makeover — full-color throughout while maintaining the beloved digest format and member-driven content.","Una renovación visual completa — todo a color manteniendo el querido formato de bolsillo y contenido escrito por miembros.",grapevine
2012,The Daily Quote Begins,Comienza la Cita Diaria,"The Daily Quote email service launches, delivering a daily snippet of inspiration or reflection directly to members' inboxes.","Se lanza el servicio de correo de la Cita Diaria, entregando un fragmento diario de inspiración o reflexión directamente a las bandejas de entrada de los miembros.",both
2019,Grapevine's 75th Anniversary,75 Aniversario del Grapevine,Celebrates 75 years of continuous publication as a vital connection point for the growing global A.A. fellowship.,Celebra 75 años de publicación continua como un punto de conexión vital para la creciente comunidad mundial de A.A.,grapevine
2020,Carry the Message Project,Proyecto Lleva el Mensaje,"Formal initiative enabling members and groups to sponsor gift subscriptions for alcoholics in prisons, treatment facilities, and nursing homes.","Iniciativa formal que permite a los miembros y grupos patrocinar suscripciones de regalo para alcohólicos en prisiones, centros de tratamiento y hogares de ancianos.",both
Summer 2021,La Viña's 25th Anniversary,25 Aniversario de La Viña,La Viña celebrates a quarter-century of carrying the message of recovery to the Hispanic community worldwide.,La Viña celebra un cuarto de siglo llevando el mensaje de recuperación a la comunidad hispana en todo el mundo.,lavina
2021,A.A. Preamble Revised,Se Revisa el Preámbulo de A.A.,"Conference approves changing 'men and women' to 'people' — a significant editorial milestone since the Preamble originated in the Grapevine.","La Conferencia aprueba cambiar 'hombres y mujeres' por 'personas' — un hito editorial significativo ya que el Preámbulo se originó en el Grapevine.",grapevine
July 2021,Social Media Launch,Lanzamiento en Redes Sociales,"Official Instagram accounts for Grapevine and La Viña launch, entering the social media era.","Se lanzan las cuentas oficiales de Instagram de Grapevine y La Viña, entrando en la era de las redes sociales.",both
October 2021,The Grapevine Podcast,El Podcast de Grapevine,'The AA Grapevine Half-Hour Variety Hour' launches — a free weekly audio platform.,Se lanza 'The AA Grapevine Half-Hour Variety Hour' — una plataforma de audio semanal gratuita.,both
September 2023,Official Mobile Apps Launch,Lanzamiento de Apps Móviles Oficiales,"Grapevine and La Viña apps launch on iOS and Android — read, listen, track sobriety, and build spiritual streaks.","Las apps de Grapevine y La Viña se lanzan en iOS y Android — lee, escucha, registra la sobriedad y construye rachas espirituales.",both
June 2024,Grapevine's 80th Anniversary,80 Aniversario del Grapevine,"What started as an eight-page bulletin now reaches hundreds of thousands across print, web, podcast, and app platforms worldwide.","Lo que comenzó como un boletín de ocho páginas ahora llega a cientos de miles a través de plataformas impresas, web, podcast y apps en todo el mundo.",grapevine
July 2025,International Convention — Vancouver,Convención Internacional — Vancouver,Special coverage of the 2025 International Convention celebrating A.A.'s 90th anniversary.,Cobertura especial de la Convención Internacional 2025 celebrando el 90 aniversario de A.A.,grapevine
2025,Fellowship-Wide Survey Ordered,Se Ordena Encuesta de Toda la Comunidad,"The 75th Conference directs the Grapevine Board to survey the full Fellowship on relevance, usefulness, and viability.","La 75ª Conferencia ordena a la Junta de Grapevine encuestar a toda la Comunidad sobre relevancia, utilidad y viabilidad.",both
